Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit,Order ID No.
CA-2016-156573,5/29/2016,6/2/2016,Standard Class,RB-19360,FUR-FU-10001085,44.76,3,0.2,14.55,156573
CA-2015-113901,10/19/2015,10/24/2015,Standard Class,NH-18610,OFF-BI-10001249,38.28,6,0,17.61,113901
CA-2017-134838,2/19/2017,2/20/2017,First Class,ED-13885,FUR-FU-10004018,44.67,3,0,12.06,134838
CA-2016-146010,5/20/2016,5/23/2016,First Class,EH-14125,OFF-BI-10003638,40.64,7,0.7,-32.51,146010
US-2015-163685,6/1/2015,6/5/2015,Standard Class,KE-16420,OFF-BI-10001890,5.73,8,0.8,-9.16,163685
US-2015-163685,6/1/2015,6/5/2015,Standard Class,KE-16420,OFF-PA-10002606,42.24,10,0.2,13.2,163685
CA-2014-135090,11/22/2014,11/26/2014,Standard Class,SP-20920,OFF-PA-10002245,53.82,9,0,24.22,135090
CA-2016-167556,3/29/2016,4/2/2016,Standard Class,JM-15250,FUR-FU-10004848,414,8,0,124.2,167556
CA-2016-167556,3/29/2016,4/2/2016,Standard Class,JM-15250,OFF-BI-10000320,41.33,7,0.2,14.98,167556
US-2016-116400,10/22/2016,10/24/2016,First Class,EB-13930,FUR-FU-10003731,39.92,4,0,11.18,116400
CA-2017-101308,10/2/2017,10/7/2017,Standard Class,FG-14260,OFF-FA-10002780,8.94,3,0,4.11,101308
CA-2014-114517,12/23/2014,12/27/2014,Standard Class,TH-21235,FUR-TA-10001676,53.32,2,0.4,-19.55,114517
CA-2014-114517,12/23/2014,12/27/2014,Standard Class,TH-21235,OFF-AP-10002350,56.52,3,0,15.83,114517
CA-2017-119564,12/15/2017,12/20/2017,Standard Class,PL-18925,FUR-FU-10003096,22.77,3,0,9.79,119564
CA-2016-108735,4/17/2016,4/21/2016,Standard Class,JM-15535,FUR-BO-10003441,257.5,3,0.15,24.24,108735
CA-2017-112333,4/8/2017,4/14/2017,Standard Class,KF-16285,OFF-ST-10001780,2591.56,4,0,621.97,112333
CA-2017-112333,4/8/2017,4/14/2017,Standard Class,KF-16285,OFF-AP-10001962,41.95,5,0,10.49,112333
US-2016-159415,4/17/2016,4/22/2016,Standard Class,CS-12175,FUR-FU-10003798,79.12,5,0.2,13.85,159415
CA-2014-122588,11/25/2014,11/27/2014,Second Class,AR-10540,FUR-FU-10001095,52.96,2,0,20.12,122588
CA-2014-137589,11/3/2014,11/8/2014,Standard Class,MS-17770,OFF-SU-10000157,286.34,3,0.2,-64.43,137589
CA-2015-161998,5/1/2015,5/5/2015,Standard Class,DB-13120,FUR-FU-10001095,63.55,3,0.2,14.3,161998
CA-2015-161998,5/1/2015,5/5/2015,Standard Class,DB-13120,OFF-SU-10004261,41.38,3,0.2,4.65,161998
CA-2015-161998,5/1/2015,5/5/2015,Standard Class,DB-13120,OFF-AR-10004022,172.7,6,0.2,10.79,161998
CA-2015-105627,3/8/2015,3/12/2015,Standard Class,DK-12895,FUR-BO-10002916,512.94,3,0,97.46,105627
CA-2015-105627,3/8/2015,3/12/2015,Standard Class,DK-12895,FUR-CH-10002084,860.93,7,0,189.4,105627
CA-2015-105627,3/8/2015,3/12/2015,Standard Class,DK-12895,TEC-PH-10003012,769.95,5,0,223.29,105627
CA-2015-105627,3/8/2015,3/12/2015,Standard Class,DK-12895,FUR-FU-10000308,373.08,6,0,82.08,105627
US-2015-149629,7/17/2015,7/20/2015,Second Class,MP-17965,FUR-BO-10004709,231.92,5,0.2,5.8,149629
