Product ID,Category,Sub-Category,Product Name,Product ID No.
OFF-BI-10004224,Office Supplies,Binders,Catalog Binders with Expanding Posts,10004224
TEC-PH-10003357,Technology,Phones,Grandstream GXP2100 Mainstream Business Phone,10003357
OFF-PA-10004475,Office Supplies,Paper,Xerox 1940,10004475
TEC-PH-10004922,Technology,Phones,RCA Visys Integrated PBX 8-Line Router,10004922
OFF-BI-10002353,Office Supplies,Binders,GBC VeloBind Cover Sets,10002353
OFF-FA-10002676,Office Supplies,Fasteners,Colored Push Pins,10002676
TEC-AC-10003023,Technology,Accessories,Logitech G105 Gaming Keyboard,10003023
TEC-PH-10002185,Technology,Phones,QVS USB Car Charger 2-Port 2.1Amp for iPod/iPhone/iPad/iPad 2/iPad 3,10002185
FUR-FU-10000758,Furniture,Furnishings,DAX Natural Wood-Tone Poster Frame,10000758
TEC-MA-10004679,Technology,Machines,StarTech.com 10/100 VDSL2 Ethernet Extender Kit,10004679
OFF-AP-10002495,Office Supplies,Appliances,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",10002495
OFF-BI-10002414,Office Supplies,Binders,GBC ProClick Spines for 32-Hole Punch,10002414
TEC-AC-10003133,Technology,Accessories,Memorex Mini Travel Drive 4 GB USB 2.0 Flash Drive,10003133
TEC-AC-10002006,Technology,Accessories,Memorex Micro Travel Drive 16 GB,10002006
OFF-LA-10003077,Office Supplies,Labels,Avery 500,10003077
OFF-PA-10003424,Office Supplies,Paper,"""While you Were Out"" Message Book, One Form per Page",10003424
OFF-PA-10004405,Office Supplies,Paper,Rediform Voice Mail Log Books,10004405
FUR-BO-10003965,Furniture,Bookcases,O'Sullivan Manor Hill 2-Door Library in Brianna Oak,10003965
FUR-FU-10002088,Furniture,Furnishings,Nu-Dell Float Frame 11 x 14 1/2,10002088
OFF-AP-10000828,Office Supplies,Appliances,Avanti 4.4 Cu. Ft. Refrigerator,10000828
OFF-AP-10002906,Office Supplies,Appliances,Hoover Replacement Belt for Commercial Guardsman Heavy-Duty Upright Vacuum,10002906
OFF-AP-10003860,Office Supplies,Appliances,Fellowes Advanced 8 Outlet Surge Suppressor with Phone/Fax Protection,10003860
FUR-TA-10001307,Furniture,Tables,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",10001307
OFF-PA-10001457,Office Supplies,Paper,White GlueTop Scratch Pads,10001457
OFF-AP-10002082,Office Supplies,Appliances,Holmes HEPA Air Purifier,10002082
